label,z_m,z_mm,x_m,x_mm,w_cfd,t_cfd,w_pinn,t_pinn,w_err,t_err
line-z-10,0.01,10.0,0.020455,20.455000000000002,12.6485,1144.51,13.547523354922873,1115.0862189797838,0.899023354922873,29.42378102021621
line-z-10,0.01,10.0,0.0208619,20.8619,12.143,1162.05,12.624280468615211,1141.4089293543238,0.48128046861521057,20.64107064567611
line-z-10,0.01,10.0,0.0221122,22.112199999999998,10.5898,1215.95,10.813012299077608,1182.338894002758,0.2232122990776073,33.61110599724202
line-z-10,0.01,10.0,0.022203,22.203,10.499,1218.34,10.721010143055603,1183.7436264361215,0.22201014305560207,34.59637356387839
line-z-10,0.01,10.0,0.0222312,22.2312,10.5086,1218.13,10.701061851052645,1183.8586149816178,0.19246185105264502,34.27138501838226
line-z-10,0.01,10.0,0.0222519,22.251900000000003,10.5156,1217.97,10.68641895585898,1183.9430214671418,0.1708189558589801,34.026978532858266
line-z-10,0.01,10.0,0.0237645,23.7645,10.6982,1220.21,10.093424246844123,1174.6977048052615,0.6047757531558773,45.5122951947385
line-z-10,0.01,10.0,0.0238727,23.872700000000002,10.5758,1219.36,10.089433291895247,1172.9110156336164,0.486366708104752,46.448984366383456
line-z-10,0.01,10.0,0.0239162,23.9162,10.5264,1219.02,10.08782879521987,1172.1927071403948,0.43857120478013023,46.82729285960522
line-z-10,0.01,10.0,0.024142,24.142,10.453,1215.58,10.085148108538462,1168.3334881663598,0.3678518914615374,47.24651183364017
line-z-10,0.01,10.0,0.0242142,24.2142,10.4294,1214.49,10.08943583248363,1166.9805096047787,0.33996416751636893,47.50949039522129
line-z-10,0.01,10.0,0.0249027,24.9027,10.3112,1203.95,10.14091754534105,1153.812509168197,0.17028245465894898,50.13749083180301
line-z-10,0.01,10.0,0.0251954,25.1954,10.2683,1201.29,10.161876065512269,1148.1327098575357,0.10642393448773113,53.15729014246426
line-z-10,0.01,10.0,0.0262556,26.2556,10.1132,1191.64,10.121099308417818,1128.4340280905326,0.007899308417817608,63.20597190946751
line-z-10,0.01,10.0,0.0268863,26.8863,9.81232,1184.51,9.952584462109716,1117.7192707806744,0.140264462109716,66.79072921932561
line-z-10,0.01,10.0,0.0275223,27.5223,9.52736,1175.58,9.634232097491054,1107.8379717715984,0.10687209749105442,67.74202822840152
line-z-10,0.01,10.0,0.0285616,28.5616,9.38528,1163.56,8.877539792049596,1093.4157727022052,0.5077402079504036,70.14422729779471
line-z-10,0.01,10.0,0.0289016,28.9016,9.22215,1159.83,8.591146460678948,1089.152600930606,0.6310035393210516,70.67739906939391
line-z-10,0.01,10.0,0.0296951,29.6951,8.69921,1149.34,7.905387437921405,1080.2423832921645,0.7938225620785957,69.09761670783541
line-z-10,0.01,10.0,0.0306789,30.6789,8.00353,1145.67,7.139037798040022,1071.6712066549858,0.8644922019599779,73.99879334501429
line-z-10,0.01,10.0,0.0307361,30.7361,7.96308,1145.46,7.101191110251903,1071.3088735638785,0.861888889748097,74.15112643612156
line-z-10,0.01,10.0,0.031079,31.079,7.72036,1144.62,6.883600689607468,1069.32155847886,0.8367593103925319,75.29844152113992
line-z-10,0.01,10.0,0.0323001,32.3001,7.08243,1144.91,6.328197907829278,1067.3545316205193,0.7542320921707217,77.55546837948077
line-z-10,0.01,10.0,0.0324535,32.453500000000005,7.0023,1144.95,6.2810173311233415,1067.7146312471277,0.7212826688766585,77.23536875287232
line-z-10,0.01,10.0,0.0332665,33.2665,6.70463,1141.99,6.105390056722294,1072.1996516113286,0.5992399432777056,69.79034838867142
line-z-10,0.01,10.0,0.0335126,33.5126,6.59504,1140.38,6.068012406517466,1074.1560745117192,0.5270275934825337,66.22392548828088
